match_id,season,match_date,match_time,match_year,match_month,iso_weekday,home_team,away_team,home_goals_ft,away_goals_ft,result_ft,home_goals_ht,away_goals_ht,result_ht,total_goals,goal_diff_home,both_teams_scored,over_2_5,clean_sheet_home,clean_sheet_away,home_points,away_points,source_coverage,has_detailed_stats,league_code,shots_home,shots_away,shots_on_target_home,shots_on_target_away,fouls_home,fouls_away,corners_home,corners_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,odds_avg_home_open,odds_avg_draw_open,odds_avg_away_open,odds_avg_over_2_5_open,odds_avg_under_2_5_open,asian_handicap_line_open,odds_avg_asian_home_open,odds_avg_asian_away_open,odds_avg_home_close,odds_avg_draw_close,odds_avg_away_close,odds_avg_over_2_5_close,odds_avg_under_2_5_close,asian_handicap_line_close,odds_avg_asian_home_close,odds_avg_asian_away_close
2008-05-04_sevilla_valladolid,2007-08,2008-05-04,,2008,5,7,Sevilla,Valladolid,2,0,H,2,0,H,2,2,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-04_villarreal_getafe,2007-08,2008-05-04,,2008,5,7,Villarreal,Getafe,2,0,H,2,0,H,2,2,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-07_betis_valladolid,2007-08,2008-05-07,,2008,5,3,Betis,Valladolid,1,1,D,0,0,D,2,0,True,False,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-07_getafe_almeria,2007-08,2008-05-07,,2008,5,3,Getafe,Almeria,4,2,H,1,2,A,6,2,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-07_la_coruna_levante,2007-08,2008-05-07,,2008,5,3,La Coruna,Levante,1,0,H,0,0,D,1,1,False,False,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-07_mallorca_osasuna,2007-08,2008-05-07,,2008,5,3,Mallorca,Osasuna,2,1,H,1,0,H,3,1,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-07_murcia_ath_bilbao,2007-08,2008-05-07,,2008,5,3,Murcia,Ath Bilbao,1,2,A,1,1,D,3,-1,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-07_real_madrid_barcelona,2007-08,2008-05-07,,2008,5,3,Real Madrid,Barcelona,4,1,H,2,0,H,5,3,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-07_recreativo_villarreal,2007-08,2008-05-07,,2008,5,3,Recreativo,Villarreal,0,2,A,0,0,D,2,-2,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-07_santander_sevilla,2007-08,2008-05-07,,2008,5,3,Santander,Sevilla,0,3,A,0,1,A,3,-3,False,True,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
